Date,Open,High,Low,Close,Adj Close,Volume
8/29/2002,2.6025,2.68,2.55875,2.67875,1.803603,1388000
8/30/2002,2.7,2.74875,2.6,2.6,1.75058,778400
9/3/2002,2.6,2.6,2.44375,2.5,1.68325,1085600
9/4/2002,2.525,2.5725,2.325,2.325,1.565423,2308800
9/5/2002,2.3125,2.4375,2.30375,2.3975,1.614237,1292800
9/6/2002,2.40625,2.475,2.40625,2.45125,1.650427,1339200
9/9/2002,2.45625,2.50625,2.325,2.50625,1.687459,1700000
9/10/2002,2.515,2.56125,2.48,2.55,1.716915,1416800
9/11/2002,2.575,2.61125,2.575,2.6,1.75058,599200
9/12/2002,2.63125,2.635,2.55,2.55,1.716915,1172000
9/13/2002,2.525,2.525,2.45,2.45,1.649585,288000
9/16/2002,2.45125,2.53,2.45,2.52625,1.700924,484800
9/17/2002,2.5575,2.6075,2.4825,2.5525,1.718598,388800
9/18/2002,2.5375,2.54875,2.48125,2.5125,1.691666,408000
9/19/2002,2.525,2.59375,2.5,2.535,1.706816,3078400
9/20/2002,2.60875,2.60875,2.475,2.50625,1.687459,737600
9/23/2002,2.5075,2.51125,2.485,2.4875,1.674834,1595200
9/24/2002,2.4825,2.48375,2.33125,2.4275,1.634436,1099200
9/25/2002,2.4325,2.47125,2.43125,2.45625,1.653793,840000
9/26/2002,2.475,2.58125,2.46875,2.58125,1.737956,1353600
9/27/2002,2.58125,2.76875,2.58125,2.66,1.790978,2938400
9/30/2002,2.66,2.675,2.43125,2.55625,1.721124,2290400
10/1/2002,2.55625,2.55625,2.37625,2.5,1.68325,3411200
10/2/2002,2.48125,2.49875,2.4125,2.475,1.666418,1560000
10/3/2002,2.485,2.485,2.39375,2.39375,1.611712,1212000
10/4/2002,2.41125,2.45625,2.3125,2.41375,1.625178,2060800
10/7/2002,2.3875,2.4,2.325,2.325,1.565423,1420800
10/8/2002,2.35,2.41,2.34625,2.3625,1.590672,1255200
10/9/2002,2.35,2.3625,2.18375,2.18375,1.470319,1482400
10/10/2002,2.1875,2.34125,2.15875,2.28875,1.541016,2052800
10/11/2002,2.30125,2.34375,2.3,2.32125,1.562898,1828000
10/14/2002,2.30875,2.35625,2.29375,2.3425,1.577205,673600
10/15/2002,2.4375,2.48125,2.39625,2.44875,1.648744,1840800
10/16/2002,2.43875,2.4625,2.395,2.4375,1.641169,1138400
10/17/2002,2.4625,2.5825,2.435,2.4725,1.664735,1288800
10/18/2002,2.4725,2.61125,2.47,2.54375,1.712707,1427200
10/21/2002,2.545,2.62375,2.5125,2.60625,1.754788,1616800
10/22/2002,2.275,2.475,2.275,2.39625,1.613396,7187200
10/23/2002,2.3925,2.505,2.3925,2.4925,1.678201,1184800
10/24/2002,2.5125,2.56,2.5125,2.55,1.716915,1300800
10/25/2002,2.5375,2.625,2.53,2.54375,1.712707,2435200
10/28/2002,2.5625,2.5625,2.315,2.31875,1.561215,4722400
10/29/2002,2.32,2.32,2.2275,2.25,1.514925,4871200
10/30/2002,2.2875,2.31875,2.245,2.25,1.514925,4926400
10/31/2002,2.26875,2.26875,2.225,2.2375,1.506509,1644000
11/1/2002,2.2375,2.2375,2.1475,2.20375,1.483785,2742400
11/4/2002,2.235,2.29375,2.235,2.26,1.521658,1336800
11/5/2002,2.26125,2.34375,2.23875,2.34375,1.578047,2224800
11/6/2002,2.34625,2.3725,2.3125,2.325,1.565423,910400
11/7/2002,2.30625,2.345,2.28125,2.30875,1.554482,834400
11/8/2002,2.30875,2.30875,2.12875,2.12875,1.433288,2266400
11/11/2002,2.1375,2.185,2.1125,2.175,1.464427,1081600
11/12/2002,2.18125,2.3775,2.18,2.3,1.54859,2532000
11/13/2002,2.3,2.395,2.2525,2.375,1.599088,3766400
11/14/2002,2.3875,2.44125,2.34375,2.375,1.599088,1755200
11/15/2002,2.3875,2.55,2.3875,2.52125,1.697558,2507200
11/18/2002,2.6125,2.61875,2.475,2.53,1.703449,4120000
11/19/2002,2.38125,2.3875,2.2,2.3875,1.607504,9400000
11/20/2002,2.3875,2.44375,2.31875,2.40625,1.620129,2154400
11/21/2002,2.425,2.4625,2.34375,2.43,1.63612,2915200
11/22/2002,2.43,2.43,2.2875,2.3125,1.557007,3816800
11/25/2002,2.3375,2.36875,2.3125,2.32,1.562056,1702400
11/26/2002,2.32125,2.35375,2.2575,2.3125,1.557007,1782400
11/27/2002,2.325,2.35875,2.31,2.33375,1.571314,1418400
11/29/2002,2.39375,2.39375,2.325,2.325,1.565423,461600
12/2/2002,2.375,2.46875,2.34375,2.3625,1.590672,3728000
12/3/2002,2.34375,2.41625,2.2825,2.3825,1.604137,1670400
12/4/2002,2.36875,2.40625,2.35,2.35,1.582255,1547200
12/5/2002,2.35625,2.46625,2.35,2.40625,1.620129,2463200
12/6/2002,2.39375,2.4125,2.34375,2.4025,1.617603,1127200
12/9/2002,2.325,2.34,2.24375,2.26875,1.527549,1407200
12/10/2002,2.29375,2.325,2.255,2.265,1.525025,2289600
12/11/2002,2.275,2.295,2.14375,2.15125,1.448437,2988800
12/12/2002,2.15125,2.2625,2.14375,2.2625,1.523342,1598400
12/13/2002,2.2125,2.2125,1.975,1.975,1.329767,5163200
12/16/2002,2,2.03625,1.9875,2,1.3466,3011200
12/17/2002,2.025,2.03,1.81875,1.8625,1.254022,6561600
12/18/2002,1.6875,1.7125,1.585,1.665,1.121045,15253600
12/19/2002,1.24125,1.3125,1.1275,1.165,0.784395,38963200
12/20/2002,1.1875,1.20625,1.14125,1.18375,0.797019,23508800
12/23/2002,1.18,1.19875,1.15625,1.175,0.791128,10243200
12/24/2002,1.1375,1.15,1.115,1.14375,0.770087,4208000
12/26/2002,1.15625,1.175,1.145,1.15,0.774295,2602400
12/27/2002,1.15,1.1725,1.135,1.16875,0.78692,4116000
12/30/2002,1.15625,1.2175,1.14875,1.21625,0.818901,2522400
12/31/2002,1.21625,1.23125,1.15625,1.225,0.824793,2881600
1/2/2003,1.225,1.24375,1.1975,1.215,0.81806,2815200
1/3/2003,1.21875,1.24625,1.2075,1.23375,0.830684,1894400
1/6/2003,1.2875,1.2875,1.21875,1.235,0.831526,2815200
1/7/2003,1.275,1.29125,1.25,1.2625,0.850042,3504000
1/8/2003,1.34375,1.34375,1.24625,1.26875,0.85425,3288800
1/9/2003,1.30875,1.36,1.30875,1.325,0.892123,10240800
1/10/2003,1.325,1.33125,1.27625,1.2975,0.873607,2906400
1/13/2003,1.325,1.33875,1.3,1.31875,0.887915,1628800
1/14/2003,1.315,1.315,1.225,1.2375,0.833209,5394400
1/15/2003,1.23625,1.23625,1.09125,1.1925,0.80291,9749600
1/16/2003,1.205,1.22125,1.18125,1.19375,0.803752,2660000
1/17/2003,1.18125,1.20625,1.15875,1.19375,0.803752,2741600
1/21/2003,1.18125,1.20875,1.14375,1.20625,0.812168,3869600
1/22/2003,1.19375,1.2375,1.1675,1.2375,0.833209,2268800
1/23/2003,1.235,1.2375,1.16875,1.21875,0.820584,2531200
1/24/2003,1.1875,1.19875,1.13375,1.17625,0.791969,5676000
1/27/2003,1.165,1.18125,1.125,1.125,0.757463,3596800
1/28/2003,1.1375,1.15625,1.1125,1.12375,0.756621,5787200
1/29/2003,1.12375,1.13625,1.1025,1.125,0.757463,3560800
1/30/2003,1.1375,1.1475,1.0625,1.10875,0.746522,3940800
1/31/2003,1.10875,1.11625,1.0625,1.0625,0.715382,2208000
2/3/2003,1.075,1.10125,1.025,1.0325,0.695183,2149600
2/4/2003,1.025,1.08125,1.02,1.06125,0.71454,2489600
2/5/2003,1.0625,1.0775,1.02375,1.03125,0.694341,3685600
2/6/2003,1.03125,1.05,0.9775,1,0.6733,3609600
2/7/2003,1.005,1.02375,0.9875,0.99,0.666567,2403200
2/10/2003,0.9775,1,0.95625,0.965,0.649734,3335200
2/11/2003,0.9775,0.99875,0.9375,0.94875,0.638793,5256000
2/12/2003,0.95625,1.01875,0.95625,1,0.6733,2116000
2/13/2003,1.005,1.0225,0.965,0.99,0.666567,3216800
2/14/2003,0.99375,1.03125,0.985,1.02875,0.692658,1928800
2/18/2003,1.125,1.28125,1.11625,1.275,0.858457,14183200
2/19/2003,1.28125,1.31625,1.25,1.3,0.87529,4581600
2/20/2003,1.3,1.30625,1.27125,1.27375,0.857616,2695200
2/21/2003,1.285,1.33125,1.28125,1.325,0.892123,4217600
2/24/2003,1.30875,1.34375,1.255,1.29375,0.871082,2048800
2/25/2003,1.25,1.3,1.225,1.28875,0.867715,2479200
2/26/2003,1.28125,1.31375,1.26875,1.27,0.855091,901600
2/27/2003,1.25,1.3475,1.24375,1.2825,0.863507,3037600
2/28/2003,1.2875,1.3225,1.275,1.3125,0.883707,2528800
3/3/2003,1.31875,1.36125,1.31875,1.3475,0.907272,1984000
3/4/2003,1.35,1.35,1.29375,1.3,0.87529,1655200
3/5/2003,1.295,1.31875,1.28125,1.3125,0.883707,3040800
3/6/2003,1.3125,1.3725,1.2925,1.35,0.908955,1593600
3/7/2003,1.35125,1.3825,1.33125,1.365,0.919055,2727200
3/10/2003,1.365,1.3675,1.325,1.325,0.892123,1478400
3/11/2003,1.3375,1.3625,1.325,1.34,0.902222,871200
3/12/2003,1.3425,1.39625,1.33375,1.375,0.925787,2159200
3/13/2003,1.4,1.48125,1.38875,1.4425,0.971236,5355200
3/14/2003,1.5,1.5425,1.5,1.5125,1.018366,7757600
3/17/2003,1.5,1.54125,1.485,1.51875,1.022574,2560000
3/18/2003,1.53625,1.5625,1.51125,1.5125,1.018366,1610400
3/19/2003,1.51875,1.54875,1.5,1.51625,1.020892,2491200
3/20/2003,1.40625,1.4825,1.375,1.475,0.993117,5579200
3/21/2003,1.48125,1.5375,1.48125,1.515,1.02005,2633600
3/24/2003,1.5,1.50375,1.45625,1.47125,0.990593,1311200
3/25/2003,1.46875,1.5,1.44875,1.4875,1.001534,2338400
3/26/2003,1.48125,1.50875,1.47,1.5,1.00995,3872000
3/27/2003,1.4875,1.51875,1.46875,1.5,1.00995,1572800
3/28/2003,1.5,1.54125,1.4625,1.505,1.013317,1539200
3/31/2003,1.5,1.525,1.46,1.5,1.00995,2738400
4/1/2003,1.50125,1.5225,1.48125,1.50125,1.010792,1600800
4/2/2003,1.52125,1.55,1.52125,1.5225,1.0251,2104800
4/3/2003,1.52375,1.5425,1.4975,1.4975,1.008267,1254400
4/4/2003,1.5175,1.61,1.4975,1.61,1.084013,2118400
4/7/2003,1.61875,1.67,1.61,1.61875,1.089905,5702400
4/8/2003,1.61875,1.65875,1.5775,1.6,1.07728,2711200
4/9/2003,1.5875,1.6175,1.55625,1.57,1.057081,1153600
4/10/2003,1.55,1.575,1.5,1.54125,1.037724,852000
4/11/2003,1.5875,1.61,1.55125,1.5525,1.045299,1669600
4/14/2003,1.5775,1.6025,1.55125,1.59375,1.073072,874400
4/15/2003,1.58125,1.59375,1.565,1.56875,1.05624,707200
4/16/2003,1.57125,1.6125,1.57125,1.57875,1.062973,2460800
4/17/2003,1.56875,1.58625,1.5475,1.5475,1.041932,1225600
4/21/2003,1.55,1.58,1.54625,1.575,1.060448,614400
4/22/2003,1.57625,1.62625,1.54125,1.5875,1.068864,1528000
4/23/2003,1.6,1.64,1.59,1.625,1.094113,742400
4/24/2003,1.6125,1.62125,1.50625,1.55,1.043615,2826400
